W,I
584.2,0.032137436
585,0.032523432
585.8,0.032487546
586.6,0.032007169
587.3,0.032064532
588.1,0.032465505
588.9,0.032910842
589.6,0.032946729
590.4,0.032559319
591.1,0.032396274
591.9,0.032608205
592.6,0.032856023
593.4,0.033111753
594.1,0.03297753
594.9,0.0331872
595.6,0.033254735
596.3,0.033122773
597.1,0.033309555
597.8,0.033344029
598.6,0.033913416
599.3,0.033922741
600.1,0.034268612
600.8,0.033804908
601.6,0.033562459
602.3,0.033161486
603.1,0.033195395
603.8,0.033125881
604.6,0.03313888
605.3,0.032845002
606.1,0.033051564
606.8,0.032975269
607.6,0.033050716
608.3,0.032201015
609.1,0.031821517
609.8,0.031381832
610.6,0.031394265
611.3,0.031248739
612,0.030896934
612.8,0.030598818
613.5,0.030153763
614.3,0.030238253
615,0.029461173
615.8,0.028897437
616.5,0.028250624
617.3,0.028551
618,0.028334266
618.8,0.028139855
619.5,0.027393293
620.3,0.026789996
621,0.026303403
621.8,0.026384502
622.5,0.026432822
623.3,0.026179918
624,0.025690782
624.8,0.025575209
625.5,0.025831221
626.3,0.025928709
627,0.025730907
627.7,0.025019667
628.5,0.024805758
629.2,0.024555397
630,0.024524879
630.7,0.024529118
631.5,0.024536182
632.2,0.024500295
633,0.024285821
633.7,0.024291473
634.5,0.024611347
635.2,0.024576873
636,0.024618129
636.7,0.024240609
637.5,0.023945319
638.2,0.023700044
639,0.023946449
639.7,0.023669526
640.5,0.023618663
641.2,0.023297658
642,0.023393168
642.7,0.023442054
643.4,0.023206104
644.2,0.023247077
644.9,0.022755398
645.7,0.0229159
646.4,0.023005194
647.2,0.023210625
647.9,0.023249338
648.7,0.023218255
649.4,0.023091944
650.2,0.022864472
650.9,0.022889903
651.7,0.022922965
652.4,0.022774048
653.2,0.022522839
653.9,0.022655084
654.7,0.022699448
655.4,0.022209181
656.2,0.022015618
656.9,0.022005163
657.7,0.022309213
658.4,0.022150123
659.1,0.022018726
659.9,0.022126105
660.6,0.022101521
661.4,0.022096434
662.1,0.021854268
662.9,0.021736999
663.6,0.02148466
664.4,0.021224127
665.1,0.021112792
665.9,0.021169025
666.6,0.021296183
667.4,0.021139072
668.1,0.020726796
668.9,0.020383468
669.7,0.020322432
670.4,0.020305477
671.2,0.020378381
672,0.020128303
672.7,0.020215053
673.5,0.02023992
674.2,0.020780485
675,0.020929684
675.8,0.020666325
676.5,0.02010711
677.3,0.019759261
678.1,0.019744849
678.8,0.019147204
679.6,0.019097471
680.4,0.019234802
681.1,0.019873703
681.9,0.019681835
682.7,0.019612039
683.4,0.019741458
684.2,0.019614865
685,0.019535462
685.7,0.01893047
686.5,0.018807267
687.2,0.018830438
688,0.019273798
688.8,0.019095211
689.5,0.018593358
690.3,0.018151129
691.1,0.018333672
691.8,0.018367864
692.6,0.018288743
693.4,0.017799607
694.1,0.017405133
694.9,0.017668492
695.7,0.017727833
696.4,0.017799324
697.2,0.017311601
698,0.017025918
698.7,0.01747945
699.5,0.017467016
