W,I
529.1,0.020320468
529.9,0.019924016
530.6,0.019570515
531.4,0.019524455
532.2,0.01962703
533,0.019762101
533.8,0.019727344
534.6,0.019976009
535.4,0.019833027
536.2,0.019981096
536.9,0.020012744
537.7,0.01987513
538.5,0.019938144
539.3,0.020070107
540.1,0.020477579
540.9,0.020795475
541.7,0.02067849
542.5,0.020383199
543.2,0.020137359
544,0.019871457
544.8,0.020334031
545.6,0.020417108
546.4,0.020798866
547.2,0.020676229
548,0.020849447
548.8,0.020594282
549.5,0.02060502
550.3,0.020815256
551.1,0.021355821
551.9,0.021158018
552.7,0.020534377
553.5,0.02037783
554.3,0.021056857
555.1,0.021234314
555.8,0.020753937
556.6,0.020369636
557.4,0.020937328
558.2,0.021130044
559,0.021107438
559.8,0.02079265
560.6,0.020778521
561.4,0.020801127
562.1,0.020804518
562.9,0.021063073
563.7,0.020948913
564.5,0.020742917
565.3,0.020543984
566.1,0.020708442
566.9,0.020311143
567.7,0.020311708
568.4,0.020481253
569.2,0.021265679
570,0.021048097
570.8,0.020560373
571.6,0.020286276
572.4,0.020603325
573.2,0.021124957
574,0.021163387
574.7,0.021340844
575.5,0.0213821
576.3,0.021480153
577.1,0.02143918
577.9,0.021167626
578.7,0.021320781
579.5,0.021329824
580.3,0.021919274
581,0.022067908
581.8,0.022585867
582.6,0.022224172
583.4,0.02222502
584.2,0.02206593
585,0.02251042
585.8,0.022732523
586.6,0.022965365
587.3,0.023058049
588.1,0.023650891
588.9,0.024063449
589.6,0.024316919
590.4,0.024204171
591.1,0.023900969
591.9,0.023764203
592.6,0.024175631
593.4,0.024567562
594.1,0.025096542
594.9,0.025467562
595.6,0.026015474
596.3,0.026134438
597.1,0.026094595
597.8,0.026092899
598.6,0.026633182
599.3,0.026801879
600.1,0.026947687
600.8,0.026923951
601.6,0.027073433
602.3,0.027189571
603.1,0.027139272
603.8,0.027549571
604.6,0.027756698
605.3,0.027791454
606.1,0.027893746
606.8,0.027935567
607.6,0.028385709
608.3,0.027676164
609.1,0.027726462
609.8,0.027386243
610.6,0.027531203
611.3,0.027473276
612,0.027446996
612.8,0.027406023
613.5,0.026717954
614.3,0.026984422
615,0.02663516
615.8,0.026927907
616.5,0.026397514
617.3,0.026366996
618,0.026186714
618.8,0.025999932
619.5,0.025879838
620.3,0.025556855
621,0.025048221
621.8,0.024927845
622.5,0.024975317
623.3,0.02505133
624,0.025060372
624.8,0.024741063
625.5,0.024607688
626.3,0.024219713
627,0.024260404
627.7,0.024312397
628.5,0.024201063
629.2,0.02371447
630,0.023596354
630.7,0.023440938
631.5,0.023284957
632.2,0.022951236
633,0.022932021
633.7,0.023259525
634.5,0.02347739
635.2,0.023563292
636,0.023791047
636.7,0.023454501
637.5,0.023202727
638.2,0.0232502
639,0.023721252
639.7,0.02354436
640.5,0.022927217
641.2,0.022771519
642,0.023007468
642.7,0.023139431
643.4,0.022892461
644.2,0.022572304
644.9,0.022474816
645.7,0.022244517
646.4,0.022494878
647.2,0.022570608
647.9,0.022822382
648.7,0.022823512
649.4,0.022896699
650.2,0.022732241
650.9,0.022232367
651.7,0.022086558
652.4,0.022366307
653.2,0.022749478
653.9,0.022941629
654.7,0.022690137
655.4,0.022496574
656.2,0.022088819
656.9,0.02191334
657.7,0.021877453
658.4,0.021678521
659.1,0.021409227
659.9,0.021364015
660.6,0.021368536
661.4,0.021278395
662.1,0.021304392
662.9,0.020921786
663.6,0.021056857
664.4,0.020600782
665.1,0.021052053
665.9,0.020893811
666.6,0.021175538
667.4,0.021159996
668.1,0.021034251
668.9,0.020613497
669.7,0.020438584
670.4,0.020417956
671.2,0.020871488
672,0.020399871
672.7,0.020182571
673.5,0.019864675
674.2,0.020024612
675,0.02023513
675.8,0.01992006
676.5,0.019642289
677.3,0.018971457
678.1,0.018860123
678.8,0.01878185
679.6,0.01895196
680.4,0.019111049
681.1,0.019070076
681.9,0.018966371
682.7,0.01914524
683.4,0.019158239
684.2,0.019213058
685,0.019017517
685.7,0.018868317
686.5,0.018656952
687.2,0.018335665
688,0.018549856
688.8,0.018616261
689.5,0.019121504
690.3,0.019053686
691.1,0.01904747
691.8,0.01840546
692.6,0.018001662
693.4,0.017640249
694.1,0.017538522
694.9,0.017525806
695.7,0.01760521
696.4,0.017406277
697.2,0.017361065
698,0.017209323
698.7,0.017450641
699.5,0.017601536
