fluoorescent2: Wavelength (nm),fluoorescent2: Intensity (rel),LED1: Intensity (rel),LED2: Intensity (rel),incandescent1: Intensity (rel),incandescent2: Intensity (rel),fluorescent1: Intensity (rel)
702.2,0.019848342,0.023185914,0.020471843,0.100113849,0.100679789,0.019282953
703,0.020036537,0.023466511,0.020552377,0.099578936,0.099583683,0.020147631
703.7,0.020008562,0.023074862,0.020793978,0.098787162,0.100589931,0.020710519
704.5,0.020958012,0.023023999,0.020475234,0.099203394,0.100674703,0.021498902
705.2,0.022090571,0.02291549,0.020474386,0.099575545,0.100699287,0.022921382
706,0.023320617,0.022594203,0.020521859,0.098402296,0.098628299,0.024599027
706.8,0.024273459,0.022142367,0.021078813,0.097394352,0.098345159,0.025787535
707.5,0.025166959,0.021771064,0.020730399,0.096327916,0.097870434,0.026294474
708.3,0.024976221,0.022044031,0.020688012,0.096201606,0.09801709,0.026916703
709.1,0.025313615,0.022426354,0.020286191,0.095192815,0.097292287,0.027105745
709.9,0.02517035,0.022141519,0.020020854,0.094355264,0.095865568,0.02679124
710.6,0.025063537,0.022290718,0.019718217,0.093259158,0.094822868,0.02594945
711.4,0.024553207,0.021538788,0.019483397,0.091954511,0.092879038,0.024929639
712.2,0.024065766,0.021394675,0.019242644,0.089980163,0.091376025,0.02459394
713,0.023577478,0.021012351,0.019424057,0.088863712,0.089689903,0.023808101
713.8,0.022573773,0.021294643,0.019780948,0.088557683,0.088977815,0.02348088
714.5,0.021610759,0.021387893,0.020537965,0.087959191,0.087162839,0.02233391
715.3,0.020752863,0.021280232,0.020198876,0.086620635,0.086240516,0.021852403
716.1,0.019967871,0.020866543,0.019669896,0.084157151,0.083968617,0.020648636
716.9,0.01918627,0.020894518,0.019678374,0.081550401,0.082609717,0.020072184
717.7,0.018246993,0.021238693,0.019651247,0.079567576,0.079726609,0.01918716
718.4,0.018614905,0.021451472,0.020006443,0.077653417,0.078110848,0.018784492
719.2,0.017864669,0.021065758,0.019905564,0.075006824,0.075639734,0.017675669
720,0.017888406,0.021122555,0.020225155,0.072686605,0.074352043,0.017713817
720.8,0.017577291,0.021175114,0.019942016,0.070494392,0.071787679,0.016872875
721.5,0.017694277,0.020958097,0.019599535,0.069116842,0.070175309,0.017539186
722.3,0.017792613,0.020828395,0.018702644,0.067295084,0.067860176,0.017434916
723.1,0.017269568,0.020080703,0.018873884,0.065068115,0.065704416,0.017883362
723.9,0.017356035,0.019649212,0.018204183,0.06349474,0.063623255,0.017918966
724.7,0.016911828,0.019092258,0.018288107,0.061303375,0.061918483,0.017751965
725.4,0.017016946,0.019349118,0.017651467,0.06012843,0.060756254,0.018001195
726.2,0.017271263,0.019768741,0.018053288,0.058550817,0.059337165,0.017936768
727,0.017377228,0.019939981,0.018083806,0.05737672,0.058037605,0.017586659
727.8,0.016910133,0.019770436,0.018068547,0.056119546,0.056554937,0.017143299
728.6,0.016908437,0.019571221,0.017896459,0.054693675,0.055193493,0.016670269
729.3,0.017361122,0.019733984,0.018300823,0.053327993,0.053915126,0.016554979
730.1,0.017570509,0.019667862,0.018683994,0.052348024,0.0531242,0.016495638
730.9,0.01724244,0.019730593,0.018266066,0.051600332,0.052339208,0.016259971
731.7,0.016372676,0.019046481,0.01761671,0.051096785,0.051400778,0.016449861
732.5,0.016743979,0.019274518,0.016805439,0.050596628,0.051321092,0.01677793
733.2,0.016931326,0.019503404,0.01701737,0.050040521,0.051082034,0.017028009
734,0.017182252,0.019144817,0.016841891,0.049490349,0.050485237,0.017121258
734.8,0.016336224,0.018897281,0.017002111,0.048926613,0.049433212,0.017051745
735.6,0.016874528,0.018651442,0.017229301,0.048746895,0.048980528,0.017006816
736.3,0.017575596,0.019436433,0.017391216,0.048749438,0.0494934,0.017297585
737.1,0.01797996,0.019375397,0.017517527,0.049059705,0.04936709,0.017484084
737.9,0.017197511,0.019173639,0.016958877,0.04872655,0.049395912,0.017350991
738.7,0.016677857,0.019383027,0.017259819,0.048701118,0.049814688,0.017131431
739.5,0.017105957,0.018844722,0.017135203,0.049119046,0.050411485,0.017190772
740.2,0.017252613,0.018818443,0.017297119,0.049809093,0.050860778,0.017480693
741,0.017006773,0.018742996,0.017331028,0.050417758,0.050938769,0.017790112
741.8,0.016522723,0.019394895,0.01774726,0.050561023,0.050881971,0.017729076
742.6,0.016085298,0.019227046,0.017577715,0.050917067,0.05144486,0.017587506
743.4,0.016266711,0.018679416,0.017655706,0.05091961,0.051803447,0.016981384
744.1,0.016333681,0.018222493,0.017286098,0.05149691,0.053040275,0.016847444
744.9,0.016626145,0.018368302,0.017262362,0.052316659,0.053457355,0.017132279
745.7,0.017233115,0.018404754,0.017173351,0.053546705,0.054200809,0.01706107
746.5,0.017230572,0.018813357,0.017649772,0.053968024,0.05472894,0.016762671
747.2,0.017311106,0.018684503,0.017976993,0.054474962,0.056067496,0.016765215
748,0.017226334,0.018740453,0.018440698,0.055431195,0.057510321,0.017224681
748.8,0.017344167,0.018442902,0.017838814,0.056323,0.058106271,0.01737388
749.6,0.017065266,0.018355586,0.017458186,0.056690064,0.058407212,0.017310301
750.4,0.016526962,0.018487831,0.016645219,0.057375872,0.059017573,0.017251808
751.1,0.015900494,0.01865568,0.01702839,0.058694082,0.06050448,0.017340819
751.9,0.015521562,0.018266575,0.017376805,0.05996821,0.061063978,0.017486627
752.7,0.015747904,0.017809652,0.01740817,0.060256436,0.061307274,0.017132279
753.5,0.016554937,0.017518035,0.017387825,0.060279325,0.061065673,0.01726198
754.3,0.016978798,0.018271661,0.016990243,0.059981774,0.061552266,0.016628731
755,0.016705831,0.018720107,0.016985156,0.061125353,0.061620084,0.017152624
755.8,0.016393869,0.019015115,0.016606224,0.06148394,0.06228809,0.01651005
756.6,0.016219238,0.019092258,0.017086035,0.062940329,0.06239999,0.016728762
757.4,0.016267558,0.018885413,0.017074167,0.062920831,0.062703475,0.016287946
758.2,0.016493901,0.018563278,0.016817307,0.062961522,0.062684825,0.016787255
758.9,0.016938955,0.018715869,0.0169504,0.062983563,0.063117164,0.016914414
759.7,0.017034748,0.018849809,0.017046192,0.06304799,0.062535626,0.016966125
760.5,0.016705831,0.018587015,0.017264905,0.063449811,0.062836567,0.017244178
761.3,0.016409128,0.017794393,0.016893602,0.063441333,0.062825547,0.016948323
762,0.016472708,0.017758789,0.01669693,0.062689403,0.062054966,0.016962734
762.8,0.01681434,0.018174173,0.01672321,0.062749591,0.061116537,0.017185685
763.6,0.016906742,0.018554801,0.016547731,0.062212134,0.060618075,0.017955418
764.4,0.016686334,0.018424252,0.015953477,0.062328272,0.061732831,0.018041038
765.2,0.016681248,0.017939354,0.015861075,0.061510219,0.062637352,0.017499343
765.9,0.016450667,0.017988522,0.015494859,0.061538194,0.063193459,0.017428134
766.7,0.016366742,0.017829998,0.015924654,0.06137204,0.062738231,0.017739249
767.5,0.01600646,0.017670626,0.016140824,0.061110942,0.061861685,0.017755355
768.3,0.016117511,0.017263718,0.016173885,0.060615023,0.060893585,0.017698558
769.1,0.016459992,0.017167926,0.016471436,0.059761366,0.060030603,0.017145842
